Order_ID,Customer_ID,Product_Name,Category,Brand,Region,Order_Status,Order_Date,Quantity,Unit_Price,Discount,Total_Amount,Payment_Mode,Warehouse
ORD1001,CUST137,Yoga Mat 6mm,Sports & Fitness,FitCore,East,Completed,2026-02-05,6,985.72,15,5027.17,Debit Card,WH-DEL-01
ORD1002,CUST126,Data Engineering Handbook,Books,PageTurner Press,North,Completed,2026-05-10,5,217.58,0,1087.9,Wallet,WH-KOL-05
ORD1003,CUST148,Robotic Vacuum Cleaner,Home & Kitchen,ComfortLiving,North,Returned,2026-02-10,6,4091.22,5,23319.95,UPI,WH-BLR-02
ORD1004,CUST134,Men's Running Shoes,Fashion,UrbanTrail,West,Completed,2026-03-30,5,1542.25,0,7711.25,Wallet,WH-HYD-04
ORD1005,CUST145,Portable SSD 1TB,Electronics,SoundWave,Central,Completed,2026-06-10,5,22226.93,5,105577.92,Debit Card,WH-BLR-02
ORD1006,CUST110,Wireless Earbuds Pro,Electronics,PulseTech,East,Shipped,2026-03-01,1,9998.05,10,8998.24,Wallet,WH-MUM-03
ORD1007,CUST146,Leather Wallet,Fashion,StitchWorks,East,Returned,2026-06-24,6,634.59,15,3236.41,UPI,WH-KOL-05
ORD1008,,Non-Stick Cookware Set,Home & Kitchen,DomusCraft,West,Completed,2026-06-13,6,5233.07,15,26688.66,Net Banking,WH-DEL-01
ORD1009,CUST141,27-inch Monitor,Electronics,ByteCore,East,Completed,2026-05-26,6,8414.2,15,42912.42,Cash on Delivery,WH-HYD-04
ORD1010,CUST125,Clean Architecture,Books,InkWell Publications,South,Completed,2026-05-24,5,382.92,10,1723.14,Cash on Delivery,WH-KOL-05
ORD1011,CUST143,Women's Denim Jacket,Fashion,StitchWorks,Central,Pending,2026-07-13,1,4346.18,0,4346.18,Wallet,WH-BLR-02
ORD1012,CUST143,Data Engineering Handbook,Books,InkWell Publications,West,Cancelled,2026-04-30,5,374.99,10,1687.45,Credit Card,WH-DEL-01
ORD1013,CUST132,Herbal Shampoo 500ml,Beauty & Personal Care,HerbalRoots,East,Completed,2026-04-22,2,988.39,15,1680.26,Wallet,WH-MUM-03
ORD1014,CUST149,Memory Foam Pillow,Home & Kitchen,HomeEase,East,Shipped,2026-05-10,5,2189.74,5,10401.26,UPI,WH-KOL-05
ORD1015,CUST103,Vitamin C Serum,Beauty & Personal Care,HerbalRoots,East,Pending,2026-01-29,3,1774.64,20,4259.14,Net Banking,WH-BLR-02
ORD1016,CUST135,Memory Foam Pillow,Home & Kitchen,HomeEase,North,Returned,2026-01-18,5,7008.59,0,35042.95,,WH-HYD-04
ORD1017,CUST142,Electric Kettle,Home & Kitchen,DomusCraft,South,Shipped,2026-07-13,6,6362.87,15,32450.64,Net Banking,WH-HYD-04
ORD1018,CUST114,Resistance Band Kit,Sports & Fitness,PeakForm,Central,Pending,2026-03-05,2,727.97,0,1455.94,Debit Card,WH-KOL-05
ORD1019,CUST132,Electric Trimmer,Beauty & Personal Care,GlowNatural,North,Returned,2026-01-16,2,273.69,0,547.38,Net Banking,WH-DEL-01
ORD1020,CUST112,Electric Kettle,Home & Kitchen,DomusCraft,South,Pending,2026-07-05,5,5396.8,0,26984.0,Cash on Delivery,WH-HYD-04
ORD1021,CUST103,Smart Fitness Band,Electronics,ByteCore,East,Pending,2026-04-30,6,2109.94,15,10760.69,Wallet,WH-DEL-01
ORD1022,CUST115,The Pragmatic Programmer,Books,PageTurner Press,South,Completed,2026-05-18,4,297.13,0,1188.52,Net Banking,WH-HYD-04
ORD1023,CUST126,Noise Cancelling Headset,Electronics,Zentro,North,Completed,2026-05-19,1,24248.71,20,19398.97,UPI,WH-BLR-02
ORD1024,,Atomic Habits,Books,PageTurner Press,West,Shipped,2026-02-12,4,200.51,10,721.84,Net Banking,WH-HYD-04
ORD1025,CUST103,Atomic Habits,Books,PageTurner Press,South,Completed,2026-01-15,5,714.02,0,3570.1,Wallet,WH-MUM-03
ORD1026,CUST143,Noise Cancelling Headset,Electronics,Zentro,Central,Completed,2026-05-11,1,21401.49,0,21401.49,Debit Card,WH-DEL-01
ORD1027,CUST136,Robotic Vacuum Cleaner,Home & Kitchen,HomeEase,Central,Completed,2026-06-02,1,5763.74,10,5187.37,Wallet,WH-KOL-05
ORD1028,CUST129,Herbal Shampoo 500ml,Beauty & Personal Care,PureSkin,South,Cancelled,2026-03-22,2,640.39,0,1280.78,Wallet,WH-MUM-03
ORD1029,CUST108,Men's Running Shoes,Fashion,UrbanTrail,West,Cancelled,2026-05-25,1,643.33,0,643.33,Debit Card,WH-MUM-03
ORD1030,CUST100,Men's Running Shoes,Fashion,StitchWorks,East,Completed,2026-04-23,5,3605.64,10,16225.38,Wallet,WH-KOL-05
